Centro,APROVADO,EDUCACAO  JOVENS E ADULTOS,45
Centro,APROVADO,ENSINO FUNDAMENTAL,501
Centro,DESIST/DEIXOU FREQUE,CORREÇÃO DE FLUXO,3
Centro,DESIST/DEIXOU FREQUE,EDUCACAO  JOVENS E ADULTOS,21
Centro,DESIST/DEIXOU FREQUE,EDUCACAO INFANTIL,49
Centro,DESIST/DEIXOU FREQUE,ENSINO FUNDAMENTAL,72
Centro,FALECIDO,EDUCACAO INFANTIL,1
Centro,REMANEJADO,CORREÇÃO DE FLUXO,1
Centro,REMANEJADO,EDUCACAO INFANTIL,2
Centro,REMANEJADO,ENSINO FUNDAMENTAL,7
Centro,RENV S/SIT FINAL DEF,CORREÇÃO DE FLUXO,284
Centro,RENV S/SIT FINAL DEF,EDUCACAO  JOVENS E ADULTOS,184
Centro,RENV S/SIT FINAL DEF,EDUCACAO INFANTIL,1617
Centro,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL,3806
Centro,REPROV P/  FALTA,EDUCACAO  JOVENS E ADULTOS,12
Centro,REPROV P/  FALTA,ENSINO FUNDAMENTAL,26
Centro,RETIDO,EDUCACAO  JOVENS E ADULTOS,9
Centro,RETIDO,EDUCACAO INFANTIL,1
Centro,RETIDO,ENSINO FUNDAMENTAL,49
Centro,TR DUR ANO FORA REDE,CORREÇÃO DE FLUXO,7
Centro,TR DUR ANO FORA REDE,EDUCACAO  JOVENS E ADULTOS,11
Centro,TR DUR ANO FORA REDE,EDUCACAO INFANTIL,44
Centro,TR DUR ANO FORA REDE,ENSINO FUNDAMENTAL,189
Centro,TR DUR ANO P/REDE,CORREÇÃO DE FLUXO,5
Centro,TR DUR ANO P/REDE,EDUCACAO  JOVENS E ADULTOS,5
Centro,TR DUR ANO P/REDE,EDUCACAO INFANTIL,18
Centro,TR DUR ANO P/REDE,ENSINO FUNDAMENTAL,75
Nordeste,APROVADO,EDUCACAO  JOVENS E ADULTOS,206
Nordeste,APROVADO,ENSINO FUNDAMENTAL,1575
Nordeste,DESIST/DEIXOU FREQUE,CORREÇÃO DE FLUXO,3
Nordeste,DESIST/DEIXOU FREQUE,EDUCACAO  JOVENS E ADULTOS,64
Nordeste,DESIST/DEIXOU FREQUE,EDUCACAO INFANTIL,121
Nordeste,DESIST/DEIXOU FREQUE,ENSINO FUNDAMENTAL,51
Nordeste,FALECIDO,EDUCACAO  JOVENS E ADULTOS,7
Nordeste,FALECIDO,ENSINO FUNDAMENTAL,1
Nordeste,REMANEJADO,CORREÇÃO DE FLUXO,2
Nordeste,REMANEJADO,EDUCACAO  JOVENS E ADULTOS,35
Nordeste,REMANEJADO,EDUCACAO INFANTIL,4
Nordeste,REMANEJADO,ENSINO FUNDAMENTAL,61
Nordeste,RENV S/SIT FINAL DEF,CORREÇÃO DE FLUXO,697
Nordeste,RENV S/SIT FINAL DEF,EDUCACAO  JOVENS E ADULTOS,1369
Nordeste,RENV S/SIT FINAL DEF,EDUCACAO INFANTIL,3015
Nordeste,RENV S/SIT FINAL DEF,EJA ESPECIAL,29
Nordeste,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL,11150
Nordeste,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL  ESPECIAL,8
Nordeste,REPROV P/  FALTA,EDUCACAO  JOVENS E ADULTOS,162
Nordeste,REPROV P/  FALTA,ENSINO FUNDAMENTAL,73
Nordeste,RETIDO,EDUCACAO  JOVENS E ADULTOS,94
Nordeste,RETIDO,ENSINO FUNDAMENTAL,157
Nordeste,TR DUR ANO FORA REDE,CORREÇÃO DE FLUXO,23
Nordeste,TR DUR ANO FORA REDE,EDUCACAO  JOVENS E ADULTOS,77
Nordeste,TR DUR ANO FORA REDE,EDUCACAO INFANTIL,70
Nordeste,TR DUR ANO FORA REDE,ENSINO FUNDAMENTAL,463
Nordeste,TR DUR ANO P/REDE,CORREÇÃO DE FLUXO,12
Nordeste,TR DUR ANO P/REDE,EDUCACAO  JOVENS E ADULTOS,23
Nordeste,TR DUR ANO P/REDE,EDUCACAO INFANTIL,43
Nordeste,TR DUR ANO P/REDE,ENSINO FUNDAMENTAL,153
Norte,APROVADO,EDUCACAO  JOVENS E ADULTOS,83
Norte,APROVADO,EDUCACAO INFANTIL,48
Norte,APROVADO,ENSINO FUNDAMENTAL,1162
Norte,DESIST/DEIXOU FREQUE,CORREÇÃO DE FLUXO,6
Norte,DESIST/DEIXOU FREQUE,EDUCACAO  JOVENS E ADULTOS,34
Norte,DESIST/DEIXOU FREQUE,EDUCACAO INFANTIL,28
Norte,DESIST/DEIXOU FREQUE,ENSINO FUNDAMENTAL,28
Norte,FALECIDO,EDUCACAO  JOVENS E ADULTOS,3
Norte,FALECIDO,EDUCACAO INFANTIL,1
Norte,FALECIDO,ENSINO FUNDAMENTAL,2
Norte,REMANEJADO,CORREÇÃO DE FLUXO,5
Norte,REMANEJADO,EDUCACAO  JOVENS E ADULTOS,3
Norte,REMANEJADO,EDUCACAO INFANTIL,1
Norte,REMANEJADO,ENSINO FUNDAMENTAL,9
Norte,RENV S/SIT FINAL DEF,CORREÇÃO DE FLUXO,592
Norte,RENV S/SIT FINAL DEF,EDUCACAO  JOVENS E ADULTOS,697
Norte,RENV S/SIT FINAL DEF,EDUCACAO INFANTIL,1713
Norte,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL,7788
Norte,REPROV P/  FALTA,EDUCACAO  JOVENS E ADULTOS,120
Norte,REPROV P/  FALTA,ENSINO FUNDAMENTAL,64
Norte,RETIDO,EDUCACAO  JOVENS E ADULTOS,58
Norte,RETIDO,ENSINO FUNDAMENTAL,123
Norte,TR DUR ANO FORA REDE,CORREÇÃO DE FLUXO,19
Norte,TR DUR ANO FORA REDE,EDUCACAO  JOVENS E ADULTOS,34
Norte,TR DUR ANO FORA REDE,EDUCACAO INFANTIL,46
Norte,TR DUR ANO FORA REDE,ENSINO FUNDAMENTAL,369
Norte,TR DUR ANO P/REDE,CORREÇÃO DE FLUXO,6
Norte,TR DUR ANO P/REDE,EDUCACAO  JOVENS E ADULTOS,4
Norte,TR DUR ANO P/REDE,EDUCACAO INFANTIL,19
Norte,TR DUR ANO P/REDE,ENSINO FUNDAMENTAL,107
Oeste,APROVADO,EDUCACAO  JOVENS E ADULTOS,80
Oeste,APROVADO,EDUCACAO INFANTIL,1
Oeste,APROVADO,ENSINO FUNDAMENTAL,946
Oeste,DESIST/DEIXOU FREQUE,CORREÇÃO DE FLUXO,3
Oeste,DESIST/DEIXOU FREQUE,EDUCACAO  JOVENS E ADULTOS,46
Oeste,DESIST/DEIXOU FREQUE,EDUCACAO INFANTIL,230
Oeste,DESIST/DEIXOU FREQUE,ENSINO FUNDAMENTAL,41
Oeste,FALECIDO,EDUCACAO  JOVENS E ADULTOS,2
Oeste,FALECIDO,EDUCACAO INFANTIL,1
Oeste,FALECIDO,ENSINO FUNDAMENTAL,1
Oeste,REMANEJADO,CORREÇÃO DE FLUXO,3
Oeste,REMANEJADO,EDUCACAO  JOVENS E ADULTOS,16
Oeste,REMANEJADO,EDUCACAO INFANTIL,3
Oeste,REMANEJADO,ENSINO FUNDAMENTAL,34
Oeste,RENV S/SIT FINAL DEF,CORREÇÃO DE FLUXO,508
Oeste,RENV S/SIT FINAL DEF,EDUCACAO  JOVENS E ADULTOS,865
Oeste,RENV S/SIT FINAL DEF,EDUCACAO INFANTIL,3416
Oeste,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL,7909
Oeste,REPROV P/  FALTA,EDUCACAO  JOVENS E ADULTOS,83
Oeste,REPROV P/  FALTA,ENSINO FUNDAMENTAL,59
Oeste,RETIDO,EDUCACAO  JOVENS E ADULTOS,49
Oeste,RETIDO,ENSINO FUNDAMENTAL,138
Oeste,TR DUR ANO FORA REDE,CORREÇÃO DE FLUXO,16
Oeste,TR DUR ANO FORA REDE,EDUCACAO  JOVENS E ADULTOS,38
Oeste,TR DUR ANO FORA REDE,EDUCACAO INFANTIL,64
Oeste,TR DUR ANO FORA REDE,ENSINO FUNDAMENTAL,369
Oeste,TR DUR ANO P/REDE,CORREÇÃO DE FLUXO,4
Oeste,TR DUR ANO P/REDE,EDUCACAO  JOVENS E ADULTOS,15
Oeste,TR DUR ANO P/REDE,EDUCACAO INFANTIL,34
Oeste,TR DUR ANO P/REDE,ENSINO FUNDAMENTAL,169
Sudoeste,APROVADO,EDUCACAO  JOVENS E ADULTOS,89
Sudoeste,APROVADO,ENSINO FUNDAMENTAL,872
Sudoeste,DESIST/DEIXOU FREQUE,CORREÇÃO DE FLUXO,6
Sudoeste,DESIST/DEIXOU FREQUE,EDUCACAO  JOVENS E ADULTOS,53
Sudoeste,DESIST/DEIXOU FREQUE,EDUCACAO INFANTIL,167
Sudoeste,DESIST/DEIXOU FREQUE,ENSINO FUNDAMENTAL,46
Sudoeste,FALECIDO,CORREÇÃO DE FLUXO,2
Sudoeste,FALECIDO,EDUCACAO  JOVENS E ADULTOS,2
Sudoeste,FALECIDO,ENSINO FUNDAMENTAL,3
Sudoeste,REMANEJADO,CORREÇÃO DE FLUXO,3
Sudoeste,REMANEJADO,EDUCACAO  JOVENS E ADULTOS,18
Sudoeste,REMANEJADO,EDUCACAO INFANTIL,5
Sudoeste,REMANEJADO,ENSINO FUNDAMENTAL,23
Sudoeste,RENV S/SIT FINAL DEF,CORREÇÃO DE FLUXO,644
Sudoeste,RENV S/SIT FINAL DEF,EDUCACAO  JOVENS E ADULTOS,1028
Sudoeste,RENV S/SIT FINAL DEF,EDUCACAO INFANTIL,2518
Sudoeste,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL,8463
Sudoeste,REPROV P/  FALTA,EDUCACAO  JOVENS E ADULTOS,57
Sudoeste,REPROV P/  FALTA,ENSINO FUNDAMENTAL,45
Sudoeste,RETIDO,EDUCACAO  JOVENS E ADULTOS,24
Sudoeste,RETIDO,ENSINO FUNDAMENTAL,88
Sudoeste,TR DUR ANO FORA REDE,CORREÇÃO DE FLUXO,12
Sudoeste,TR DUR ANO FORA REDE,EDUCACAO  JOVENS E ADULTOS,110
Sudoeste,TR DUR ANO FORA REDE,EDUCACAO INFANTIL,79
Sudoeste,TR DUR ANO FORA REDE,ENSINO FUNDAMENTAL,475
Sudoeste,TR DUR ANO P/REDE,CORREÇÃO DE FLUXO,9
Sudoeste,TR DUR ANO P/REDE,EDUCACAO  JOVENS E ADULTOS,25
Sudoeste,TR DUR ANO P/REDE,EDUCACAO INFANTIL,35
Sudoeste,TR DUR ANO P/REDE,ENSINO FUNDAMENTAL,171
Sul,APROVADO,EDUCACAO  JOVENS E ADULTOS,320
Sul,APROVADO,ENSINO FUNDAMENTAL,2506
Sul,DESIST/DEIXOU FREQUE,CORREÇÃO DE FLUXO,6
Sul,DESIST/DEIXOU FREQUE,EDUCACAO  JOVENS E ADULTOS,167
Sul,DESIST/DEIXOU FREQUE,EDUCACAO INFANTIL,297
Sul,DESIST/DEIXOU FREQUE,ENSINO FUNDAMENTAL,51
Sul,FALECIDO,EDUCACAO  JOVENS E ADULTOS,5
Sul,FALECIDO,EDUCACAO INFANTIL,2
Sul,FALECIDO,ENSINO FUNDAMENTAL,5
Sul,REMANEJADO,CORREÇÃO DE FLUXO,3
Sul,REMANEJADO,EDUCACAO  JOVENS E ADULTOS,38
Sul,REMANEJADO,EDUCACAO INFANTIL,2
Sul,REMANEJADO,ENSINO FUNDAMENTAL,39
Sul,RENV S/SIT FINAL DEF,CORREÇÃO DE FLUXO,865
Sul,RENV S/SIT FINAL DEF,EDUCACAO  JOVENS E ADULTOS,1556
Sul,RENV S/SIT FINAL DEF,EDUCACAO INFANTIL,4608
Sul,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL,13290
Sul,REPROV P/  FALTA,EDUCACAO  JOVENS E ADULTOS,131
Sul,REPROV P/  FALTA,ENSINO FUNDAMENTAL,74
Sul,RETIDO,EDUCACAO  JOVENS E ADULTOS,102
Sul,RETIDO,ENSINO FUNDAMENTAL,239
Sul,TR DUR ANO FORA REDE,CORREÇÃO DE FLUXO,22
Sul,TR DUR ANO FORA REDE,EDUCACAO  JOVENS E ADULTOS,67
Sul,TR DUR ANO FORA REDE,EDUCACAO INFANTIL,203
Sul,TR DUR ANO FORA REDE,ENSINO FUNDAMENTAL,787
Sul,TR DUR ANO P/REDE,CORREÇÃO DE FLUXO,11
Sul,TR DUR ANO P/REDE,EDUCACAO  JOVENS E ADULTOS,42
Sul,TR DUR ANO P/REDE,EDUCACAO INFANTIL,87
Sul,TR DUR ANO P/REDE,ENSINO FUNDAMENTAL,292
